,FIPS,Density,Non-White,Poverty,Income,Unemployment,Uninsured,Employed,Labor,Transit,Mean Commute,Senior Citizen,Gini,Comorbidities,confirmed rate,death rate
117,36087,3.2737765,0.36867721671156706,0.139,39286.0,0.055,0.055999999999999994,0.607,0.326,0.23743928380878465,31.5,0.155,0.4648,0.37,3.6252480707153736,2.1940013496854114
118,36089,1.6043229,0.0802842635865324,0.179,25378.0,0.07400000000000001,0.06,0.49,0.442,0.1811854827409034,20.8,0.16899999999999998,0.4421,0.485,2.3388339074808115,0.45580697823946104
119,36091,2.4529862,0.09645429799301541,0.057999999999999996,43065.0,0.035,0.033,0.637,0.314,0.10541365327536478,25.2,0.17600000000000002,0.4188,0.395,2.4346184066722985,0.924057409265487
120,36093,2.8803031,0.2740492964567768,0.114,32417.0,0.066,0.042,0.5820000000000001,0.365,0.15144859033531666,23.1,0.168,0.4348,0.44299999999999995,2.7594653499569834,1.394889406426993
121,36095,1.6976838,0.06831721222215104,0.121,30397.0,0.054000000000000006,0.038,0.546,0.43200000000000005,0.16840740473960958,30.8,0.21,0.424,0.445,2.303209997446862,0.0
122,36097,1.7342625,0.05044642857142856,0.154,27678.0,0.055999999999999994,0.055,0.552,0.449,0.17503075030750304,26.3,0.20800000000000002,0.4178,0.433,1.9306257927249717,0.0
123,36099,2.0215278,0.10988659494038966,0.122,28245.0,0.036000000000000004,0.083,0.539,0.44299999999999995,0.1560165421558164,21.7,0.18600000000000003,0.4376,0.449,2.351069823001005,0.0
124,36101,1.8362646,0.06432142042272515,0.13699999999999998,29886.0,0.063,0.055,0.5489999999999999,0.466,0.15828022448397228,21.9,0.18899999999999997,0.4533,0.48100000000000004,2.467633586560797,1.6433184352431276
125,36103,3.2093604,0.32432377789399336,0.069,44465.0,0.042,0.047,0.623,0.36200000000000004,0.16598349293588,32.7,0.165,0.4436,0.382,3.456889960269855,2.13344993946837
126,36105,1.8916187,0.28485276106288937,0.152,30446.0,0.075,0.055999999999999994,0.539,0.48200000000000004,0.13548327022161522,30.6,0.185,0.4654,0.495,3.2890977445691276,1.8104574807728313
127,36107,1.9682329,0.050014377849895264,0.102,31822.0,0.061,0.042,0.574,0.425,0.12055565481507946,23.4,0.19699999999999998,0.4177,0.423,2.5303959536489735,1.705773357604776
128,36109,2.3330004,0.22876600222131294,0.18899999999999997,33075.0,0.038,0.034,0.57,0.28600000000000003,0.3250442964501742,19.4,0.139,0.496,0.28600000000000003,2.2895347514361513,0.0
129,36111,2.1985195,0.20949822293118403,0.138,34834.0,0.051,0.054000000000000006,0.578,0.397,0.15287666748506423,29.0,0.192,0.4592,0.385,3.0270333352104095,1.7037820132987678
130,36113,1.8676718,0.062309415645030786,0.095,35271.0,0.04,0.039,0.591,0.397,0.13759974465368652,22.9,0.21600000000000003,0.4358,0.379,2.6484952763473477,1.7210489574692207
131,36115,1.8670913,0.07684692287717476,0.113,28530.0,0.048,0.055,0.5670000000000001,0.47600000000000003,0.13677768789786515,26.5,0.18899999999999997,0.4065,0.473,2.6122221252236146,1.3779310459307597
132,36117,2.172932,0.10071918602724295,0.11599999999999999,31043.0,0.051,0.042,0.609,0.43799999999999994,0.12790989879606152,24.7,0.184,0.4289,0.47,2.392309058812553,0.6371266456840168
133,36119,3.351591,0.4652127692514114,0.08800000000000001,57049.0,0.054000000000000006,0.057999999999999996,0.618,0.319,0.370777465684456,35.1,0.16699999999999998,0.5405,0.365,3.5633946790959645,2.1744170218915464
134,36121,1.8276536,0.10088078402183354,0.105,27947.0,0.055999999999999994,0.042,0.557,0.49999999999999994,0.1367397945015274,25.4,0.174,0.3961,0.473,2.4139882177885545,1.1317539471692772
135,36123,1.8673182,0.052896725440806036,0.11900000000000001,28270.0,0.040999999999999995,0.17600000000000002,0.5660000000000001,0.49599999999999994,0.1741912548880199,22.3,0.201,0.448,0.423,2.3047025188809886,1.3993935313261172
